ADDRESS;CITY;ENTITY_ID;LATITUDE;LOADER_TYPE;LONGITUDE;NUMBER_OF_CHARGING_POINTS;OPERATING_COMPANY;PLUG_TYPES_1;PLUG_TYPES_2;PLUG_TYPES_3;PLUG_TYPES_4;POWER_1_KW;POWER_2_KW;POWER_3_KW;POWER_4_KW;START_UP_DATE;ZIP_CODE
Kirchbühlstr. 1;Bad;6837;47.910613;Normalladeeinrichtung;9.900215;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;26.04.17;88410
Kirchbühlstraße 1;Bad;6838;47.910613;Normalladeeinrichtung;9.900215;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;26.04.17;88410
Wilhelm-Schussen-Straße 36;Bad;6839;48.0065;Normalladeeinrichtung;9.65591;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;05.11.18;88427
BAB7, Autobahnraststätte Illertal West;Dettingen/Iller;6840;48.125523;Schnellladeeinrichtung;10.109534;2;EnBW Energie Baden-Württemberg;AC Kupplung Typ 2;DC Kupplung Combo;;;43.0;50.0;0.0;0.0;22.12.16;88451
BAB7, Gustav-Lauser-Weg;Dettingen/Iller;6841;48.1247;Schnellladeeinrichtung;10.112164;2;EnBW Energie Baden-Württemberg;AC Kupplung Typ 2;DC Kupplung Combo;;;43.0;50.0;0.0;0.0;02.03.17;88451
BAB7, Gustav-Lauser-Weg;Dettingen/Iller;6842;48.124772;Schnellladeeinrichtung;10.112139;2;EnBW Energie Baden-Württemberg;AC Kupplung Typ 2;DC Kupplung Combo, DC CHAdeMO;;;43.0;50.0;0.0;0.0;02.03.17;88451
Dobeltal;Zwiefalten;6843;48.231112;Normalladeeinrichtung;9.458831;2;Albwerk GmbH & Co KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;11.0;11.0;0.0;0.0;11.09.18;88529
Museumstraße 12;Meßkirch;6844;47.0;Normalladeeinrichtung;9.0;2;Stadt Meßkirch;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;25.10.18;88605
Hauptstraße 39;Meßkirch;6845;47.0;Normalladeeinrichtung;9.0;2;Stadt Meßkirch;AC Steckdose Typ 2;AC Steckdose Typ 2;;;11.0;11.0;0.0;0.0;05.12.18;88605
Betenbrunner Str. 8;Heiligenberg;6846;47.818701;Normalladeeinrichtung;9.312951;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;30.10.15;88633
Josef-Buchholz-Straße 12;Großschönau;6847;52.516181;Normalladeeinrichtung;13.376935;2;Thüga Energie GmbH;AC Steckdose Typ 2;AC Steckdose Typ 2;;;22.0;22.0;0.0;0.0;18.10.18;88634
Römerweg 1;Buchheim;6848;48.012089;Normalladeeinrichtung;8.986638;2;EnBW Energie Baden-Württemberg;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;15.11.18;88637
Hitzlerstr. Parkplatz Bahnhof;Überlingen;6849;47.768993;Normalladeeinrichtung;9.163404;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;09.12.14;88662
Christophstr. 3;Überlingen;6850;47.768247;Normalladeeinrichtung;9.155402;2;Stadtwerk am See GmbH & Co. KG;AC Steckdose Typ 2, AC Schuko;AC Steckdose Typ 2, AC Schuko;;;22.0;22.0;0.0;0.0;26.11.12;88662
